PIT, 21, NE, 28, Thursday, September, 10, 2015, Week 1
GB, 31, CHI, 23, Sunday, September, 13, 2015, Week 1
KC, 27, KC, 20, Sunday, September, 13, 2015, Week 1
CLE, 10, NYJ, 31, Sunday, September, 13, 2015, Week 1
IND, 14, BUF, 27, Sunday, September, 13, 2015, Week 1
MIA, 17, WAS, 10, Sunday, September, 13, 2015, Week 1
CAR, 20, JAC, 09, Sunday, September, 13, 2015, Week 1
SEA, 31, STL, 34, Sunday, September, 13, 2015, Week 1
NO, 19, ARZ, 31, Sunday, September, 13, 2015, Week 1
DET, 28, SD, 33, Sunday, September, 13, 2015, Week 1
TEN, 42, TB, 14, Sunday, September, 13, 2015, Week 1
CIN, 33, OAK, 13, Sunday, September, 13, 2015, Week 1
BAL, 13, DEN, 19, Sunday, September, 13, 2015, Week 1
NYG, 26, DAL, 27, Sunday, September, 13, 2015, Week 1
PHI, 24, ATL, 26, Monday, September, 14, 2015, Week 1
MIN, 03, SF, 20, Monday, September, 14, 2015, Week 1
DEN, 31, KC, 24, Thursday, September, 17, 2015, Week 2
KC, 17, CAR, 24, Sunday, September, 20, 2015, Week 2
SF, 18, PIT, 43, Sunday, September, 20, 2015, Week 2
TB, 26, NO, 19, Sunday, September, 20, 2015, Week 2
DET, 16, MIN, 26, Sunday, September, 20, 2015, Week 2
ARZ, 48, CHI, 23, Sunday, September, 20, 2015, Week 2
NE, 40, BUF, 32, Sunday, September, 20, 2015, Week 2
SD, 19, CIN, 24, Sunday, September, 20, 2015, Week 2
TEN, 14, CLE, 28, Sunday, September, 20, 2015, Week 2
ATL, 24, NYG, 20, Sunday, September, 20, 2015, Week 2
STL, 10, WAS, 24, Sunday, September, 20, 2015, Week 2
MIA, 20, JAC, 23, Sunday, September, 20, 2015, Week 2
BAL, 33, OAK, 37, Sunday, September, 20, 2015, Week 2
DAL, 20, PHI, 10, Sunday, September, 20, 2015, Week 2
SEA, 17, GB, 27, Sunday, September, 20, 2015, Week 2
NYJ, 20, IND, 07, Monday, September, 21, 2015, Week 2
WAS, 21, NYG, 32, Thursday, September, 24, 2015, Week 3
ATL, 39, DAL, 28, Sunday, September, 27, 2015, Week 3
IND, 35, TEN, 33, Sunday, September, 27, 2015, Week 3
OAK, 27, CLE, 20, Sunday, September, 27, 2015, Week 3
CIN, 28, BAL, 24, Sunday, September, 27, 2015, Week 3
JAC, 17, NE, 51, Sunday, September, 27, 2015, Week 3
NO, 22, CAR, 27, Sunday, September, 27, 2015, Week 3
PHI, 24, NYJ, 17, Sunday, September, 27, 2015, Week 3
TB, 09, KC, 19, Sunday, September, 27, 2015, Week 3
SD, 14, MIN, 31, Sunday, September, 27, 2015, Week 3
PIT, 12, STL, 06, Sunday, September, 27, 2015, Week 3
SF, 07, ARZ, 47, Sunday, September, 27, 2015, Week 3
BUF, 41, MIA, 14, Sunday, September, 27, 2015, Week 3
Dears, 00, SEA, 26, Sunday, September, 27, 2015, Week 3
DEN, 24, DET, 12, Sunday, September, 27, 2015, Week 3
KC, 28, GB, 38, Monday, September, 28, 2015, Week 3
BAL, 23, PIT, 20, Thursday, October, 01, 2015, Week 4
NYJ, 27, MIA, 14, Sunday, October, 04, 2015, Week 4
JAC, 13, IND, 16, Sunday, October, 04, 2015, Week 4
NYG, 24, BUF, 10, Sunday, October, 04, 2015, Week 4
CAR, 37, TB, 23, Sunday, October, 04, 2015, Week 4
PHI, 20, WAS, 23, Sunday, October, 04, 2015, Week 4
OAK, 20, CHI, 22, Sunday, October, 04, 2015, Week 4
KC, 21, ATL, 48, Sunday, October, 04, 2015, Week 4
KC, 21, CIN, 36, Sunday, October, 04, 2015, Week 4
CLE, 27, SD, 30, Sunday, October, 04, 2015, Week 4
GB, 17, SF, 03, Sunday, October, 04, 2015, Week 4
STL, 24, ARZ, 22, Sunday, October, 04, 2015, Week 4
MIN, 20, DEN, 23, Sunday, October, 04, 2015, Week 4
DAL, 20, NO, 26, Sunday, October, 04, 2015, Week 4
DET, 10, SEA, 13, Monday, October, 05, 2015, Week 4
IND, 27, KC, 20, Thursday, October, 08, 2015, Week 5
CHI, 18, KC, 17, Sunday, October, 11, 2015, Week 5
SEA, 24, CIN, 27, Sunday, October, 11, 2015, Week 5
WAS, 19, ATL, 25, Sunday, October, 11, 2015, Week 5
JAC, 31, TB, 38, Sunday, October, 11, 2015, Week 5
NO, 17, PHI, 39, Sunday, October, 11, 2015, Week 5
CLE, 33, BAL, 30, Sunday, October, 11, 2015, Week 5
STL, 10, GB, 24, Sunday, October, 11, 2015, Week 5
BUF, 14, TEN, 13, Sunday, October, 11, 2015, Week 5
ARZ, 42, DET, 17, Sunday, October, 11, 2015, Week 5
NE, 30, DAL, 06, Sunday, October, 11, 2015, Week 5
DEN, 16, OAK, 10, Sunday, October, 11, 2015, Week 5
SF, 27, NYG, 30, Sunday, October, 11, 2015, Week 5
PIT, 24, SD, 20, Monday, October, 12, 2015, Week 5
ATL, 21, NO, 31, Thursday, October, 15, 2015, Week 6
WAS, 20, NYJ, 34, Sunday, October, 18, 2015, Week 6
ARZ, 13, PIT, 25, Sunday, October, 18, 2015, Week 6
KC, 10, MIN, 16, Sunday, October, 18, 2015, Week 6
CIN, 34, BUF, 21, Sunday, October, 18, 2015, Week 6
CHI, 34, DET, 37, Sunday, October, 18, 2015, Week 6
DEN, 26, CLE, 23, Sunday, October, 18, 2015, Week 6
KC, 31, JAC, 20, Sunday, October, 18, 2015, Week 6
MIA, 38, TEN, 10, Sunday, October, 18, 2015, Week 6
CAR, 27, SEA, 23, Sunday, October, 18, 2015, Week 6
SD, 20, GB, 27, Sunday, October, 18, 2015, Week 6
BAL, 20, SF, 25, Sunday, October, 18, 2015, Week 6
NE, 34, IND, 27, Sunday, October, 18, 2015, Week 6
NYG, 07, PHI, 27, Monday, October, 19, 2015, Week 6
SEA, 20, SF, 3, Thursday, October, 22, 2015, Week 7
BUF, 32, JAC, 34, Sunday, October, 25, 2015, Week 7
TB, 30, WAS, 31, Sunday, October, 25, 2015, Week 7
ATL, 10, TEN, 7, Sunday, October, 25, 2015, Week 7
